TIMESTAMP,MILLIBAR MACCHINA,TEMPERATURA CASSETTO 1,POTENZA CASSETTO 1,TEMPERATURA CASSETTO 2,POTENZA CASSETTO 2,TEMPERATURA CASSETTO 3,POTENZA CASSETTO 3,TEMPERATURA CASSETTO 4,POTENZA CASSETTO 4,TEMPERATURA CASSETTO 5,POTENZA CASSETTO 5,TEMPERATURA CASSETTO 6,POTENZA CASSETTO 6
0,2026-03-20 13:21:19,937,114,,123,,134,,128,,132,,210,
10,2026-03-20 13:21:30,939,113,,132,,132,,131,,135,,205,
21,2026-03-20 13:21:40,938,110,,123,,132,,130,,134,,210,
32,2026-03-20 13:21:51,933,125,,136,,129,,131,,135,,207,
43,2026-03-20 13:22:02,936,116,,137,,132,,132,,134,,209,
53,2026-03-20 13:22:13,936,109,,123,,136,,135,,133,,210,
64,2026-03-20 13:22:23,940,118,,139,,131,,132,,134,,212,
75,2026-03-20 13:22:34,943,113,,134,,133,,133,,135,,210,
86,2026-03-20 13:22:45,944,106,,144,,137,,134,,135,,212,
96,2026-03-20 13:22:56,938,110,,142,,133,,136,,134,,206,
107,2026-03-20 13:23:06,928,115,,135,,131,,137,,135,,213,
118,2026-03-20 13:23:17,931,120,,127,,136,,138,,135,,215,
129,2026-03-20 13:23:28,935,108,,141,,131,,137,,135,,212,
139,2026-03-20 13:23:39,935,114,,132,,135,,138,,135,,214,
150,2026-03-20 13:23:49,936,116,,124,,136,,139,,133,,218,
161,2026-03-20 13:24:00,940,117,,135,,132,,140,,134,,216,
171,2026-03-20 13:24:11,940,105,,145,,132,,140,,135,,212,
182,2026-03-20 13:24:22,942,112,,124,,135,,141,,134,,219,
193,2026-03-20 13:24:32,943,111,,134,,132,,142,,135,,216,
204,2026-03-20 13:24:43,949,107,,148,,135,,142,,135,,212,
